Название,Группа товара,Цена,Наличие
Kuraray Noritake CZR Cerabien D2,В - дентин 10 гр,1 110 ₽,на складе
3A Medes EasyVac EV2  ,"вакуумформер, быстрый нагрев, вакуум (за счет вентилятора), м...",29 900 ₽,на складе
Darta 1900  ,"стул стоматолога с анатомическим сиденьем, B99 (черный)",35 400 ₽,на складе
,"Амико Фартук стоматологический Pb=0,35 для пациента (винил)",13 000 ₽,на складе
KaVo EXPERTsurg LUX  ,аппарат для хирургии и имплантологии (физиодиспенсер) в комплек...,288 800 ₽,на складе
Mercury 330 LUX  ,"стоматологическая установка, кожа, голубой",289 980 ₽,на складе
Euronda 200/240 SHU  ,устройство для запечатывания пакетов с 2-мя держателями рулонов...,35 040 ₽,на складе
KaVo QUATTROcare PLUS Spray  ,спрей для автоматизированного ухода за наконечниками в ...,5 270 ₽,на складе
Werther Dental Air 3/24/5  ,безмасляный воздушный компрессор на 3 установки с плоским...,85 570 ₽,на складе
,"Стимул+ НСТк 300-01 M4 - наконечник турбинный, с кнопочным зажимом, для 4-х канальног...",2 640 ₽,в наличии
,"Ферропласт ВУ-09-Я-ФП-01 - ультразвуковая мойка, 0,8 л",23 900 ₽,на складе
Stern Weber S200 Continental  ,стоматологическая установка с верхней подачей инструме...,1 073 600 ₽,на складе
Anthogyr Safe Relax 6961C  ,автоматический микромоторный мостосниматель с системой ст...,32 000 ₽,в наличии
Mercury 361K  ,"турбинный наконечник с генератором света, стандартная головка",8 500 ₽,в наличии
Song Young Labo Mate 80  ,артикулятор на магнитах,3 700 ₽,на складе
Vatech ,Комплект EzSensor и Rextar X - высокочастотный портативный дентальный рентген ...,324 710 ₽,на складе
,Сонис Самсон - пресс зуботехнический для перетяжки гильз зубных коронок,18 400 ₽,на складе
W&H RC95 RM  ,турбинный наконечник с кнопкой (для 4-канального соединения Midwest),10 220 ₽,на складе
Azimut 400A Elegance MO  ,"стоматологическая установка с нижней подачей инструментов, ...",321 500 ₽,на складе
P&T Medical BTFJ500  ,упаковочная машина,21 000 ₽,в наличии
NSK Nakanishi TiMax XSG65L  ,наконечник хирургический прямой,65 780 ₽,на складе
,Сонис Коронкосниматель КОППа,2 750 ₽,в наличии
Tosi TX114  ,турбинный наконечник без света с 4-х точечным спреем,4 990 ₽,на складе
3A Medes EV Gasket Splint 040  ,"пластины квадратные, для изготовления ортодонтических...",1 780 ₽,на складе
,Касимовский Приборный Завод ГП-40 МО - стерилизатор воздушный (40 л),33 230 ₽,на складе
Bestool Basic  ,"стул-седло с механизмом регулировки угла наклона сиденья, цвет Red, р...",51 000 ₽,на складе
